Atoll,Island,Population,Area_km2,Distance_from_Male_km,Nearest_Airport,Electricity_Provider,Maximum_Peak_Load_kW,Total_Installed_Capacity_kW,Total_Generator_Sets_kW,Yearly_Electricity_Production_kWh,Yearly_Billed_Amount_kW,Yearly_Oil_Consumption_Liters,Lube_Oil_Consumption_L_per_year,Solar_PV_Installed_kW,Solar_PV_Production_kWh,Synchronizing_Panel,Synchronizing_Panel_Type,Electricity_Cable_Installed_Year,Distribution_Cable_Size_mm2,CO2_Emissions_tCO2
BAA ATOLL,FEHENDHOO,107.0,0.235,98.7,Dharavandhoo Airport,FENAKA,35.0,80.0,"30, 50",216846.2,189400.0,76760.0,0.0,,-,No,-,1990.0,-,204.37
BAA ATOLL,EYDHAFUSHI,2626.0,0.309,113.3,Dharavandhoo Airport,FENAKA,993.0,2100.0,"300, 400, 600, 800",5035445.1,353759.0,1373595.0,5716.0,,-,Yes,Auto,1994.0,"CO2 emission  (tCO2) 3,657.06",3.0
BAA ATOLL,DHONFANU,369.0,0.175,121.3,Dharavandhoo Airport,FENAKA,87.0,128.0,"48, 80",359393.3,30276.0,147087.0,663.0,,-,No,0,1988.0,CO2 emission  (tCO2) 391.60,391.6
RAA ATOLL,MADUVVARI,1479.0,0.206,159.8,Ifuru Airport,FENAKA,277.0,538.0,"128, 160, 250",1473942.0,120820.0,467601.0,1899.0,,-,Yes,Auto,2015.0,-,1.0
BAA ATOLL,DHARAVANDHOO,839.0,0.539,115.6,Dharavandhoo Airport,FENAKA,365.0,700.0,"100, 200, 400",1646570.84,135874.0,707960.0,3034.0,,-,Yes,Auto,2000.0,"CO2 emission  (tCO2) 1,884.87",1.0
RAA ATOLL,KINOLHAS,473.0,0.542,150.6,Ifuru Airport,FENAKA,84.0,289.0,"85, 100, 104",376912.65,30946.0,134071.82,860.0,,-,No,-,1999.0,CO2 emission  (tCO2) 356.95,356.95
RAA ATOLL,MAAKURATHU,801.0,0.503,167.4,Ifuru Airport,FENAKA,170.0,320.0,"80, 80, 160",670226.55,55611.0,206652.0,587.0,,-,Yes,Auto,2006.0,CO2 emission  (tCO2) 550.19,550.19
RAA ATOLL,VAADHOO,397.0,0.382,196.1,Ifuru Airport,FENAKA,86.0,304.0,"40, 80, 80, 104",419946.0,36068.0,151572.0,802.3,,-,No,-,1998.0,CO2 emission  (tCO2) 403.55,403.55
RAA ATOLL,UN’GOOFAARU,1503.0,0.339,173.3,Ifuru Airport,ISLAND COMMUNITY,590.0,1370.0,"380, 400, 590",2904845.0,259025.0,761331.0,2213.0,,157089,Yes,Auto,2009.0,"CO2 emission  (tCO2) 2,026.97",2.0
RAA ATOLL,RASMAADHOO,512.0,0.26,162.2,Ifuru Airport,FENAKA,114.0,308.0,"108, 200",508160.2,42614.0,180619.0,1052.0,,-,No,-,1998.0,CO2 emission  (tCO2) 480.88,480.88
RAA ATOLL,RASGETHEEMU,509.0,0.384,190.4,Ifuru Airport,FENAKA,106.0,420.0,"80, 160, 180",556964.0,45965.0,175759.0,1027.5,,-,Yes,Manual,2002.0,CO2 emission  (tCO2) 467.94,467.94
RAA ATOLL,MEEDHOO,1661.0,0.348,154.1,Ifuru Airport,FENAKA,357.0,700.0,"150, 150, 400",1707700.8,143928.0,542699.0,1309.0,,-,Yes,Manual,2008.0,"CO2 emission  (tCO2) 1,444.88",1.0
LAAMU ATOLL,KUNAHANDHOO,657.0,0.9,267.2,Kadhdhoo Aiport,FENAKA,150.0,560.0,"150, 160, 250",490755.4,0.0,201578.0,1091.0,,-,No,-,2000.0,CO2 emission  (tCO2) 536.68,536.68
KAAFU ATOLL,HURAA,1142.0,0.3,19.1,Velana International Airport,ISLAND COMMUNITY,707.0,910.0,100360450,0.0,1188437.22,888230.0,3995.25,,-,Yes,Manuel,2002.0,"CO2 emission  (tCO2) 2,364.82",2.0
ALIFU ALIFU ATOLL,MATHIVERI,578.0,0.219,86.9,Velana International Airport,STELCO,240.0,920.0,"160, 176, 184, 400",1088674.0,93607.0,326604.0,1378.0,,-,Yes,Auto,,-,869.55
LAAMU ATOLL,ISDHOO,944.0,3.6,229.6,Kadhdhoo Aiport,FENAKA,,940.0,"160, 160, 260 360",797785.69,0.0,301555.0,1404.0,,-,No,-,2006.0,CO2 emission  (tCO2) 802.86,802.86
NOONU ATOLL,MAGOODHOO,258.0,0.372,178.5,Ifuru Airport,FENAKA,,78.0,"30, 48",639123.0,17407.0,81990.0,187.0,,-,No,-,1994.0,CO2 emission  (tCO2) 218.29,218.29
NOONU ATOLL,FODHDHOO,228.0,0.267,175.4,Ifuru Airport,FENAKA,,148.0,"48, 100",282765.45,22603.0,101614.0,758.0,,-,No,-,2011.0,"25, 35",270.54
NOONU ATOLL,HEN’BADHOO,497.0,0.14,198.5,Ifuru Airport,FENAKA,,212.0,"48, 64, 100",510690.85,39395.0,163464.0,779.0,,-,No,-,1996.0,CO2 emission  (tCO2) 435.21,435.21
NOONU ATOLL,MAALHENDHOO,667.0,0.484,190.9,Ifuru Airport,FENAKA,,408.0,"80, 80, 108, 140",577183.95,51288.0,235013.19,935.0,,-,No,-,1997.0,CO2 emission  (tCO2) 625.70,625.7
KAAFU ATOLL,HULHUMAL,15769.0,2.0,4.1,Velana International Airport,STELCO,,17400.0,,51270714.0,46034939.0,,68916.0,,-,Yes,Auto,2003.0,"CO2 emission  (tCO2) 36,040.36",36.0
