Atoll,Island,Population,Area_km2,Distance_from_Male_km,Nearest_Airport,Electricity_Provider,Peak_Load_Time,Maximum_Peak_Load_kW,Total_Installed_Capacity_kW,Total_Generator_Sets_kW,Monthly_Average_Usage_kWh,Yearly_Electricity_Production_kWh,Yearly_Billed_Amount_kW,Yearly_Oil_Consumption_Liters,Lube_Oil_Consumption_L_per_year,Solar_PV_Installed_kW,Solar_PV_Production_kWh,Synchronizing_Panel,Synchronizing_Panel_Type,Electricity_Cable_Installed_Year,Distribution_Cable_Size_mm2,CO2_Emissions_tCO2
KAAFU ATOLL,DHIFFUSHI,1024,0.200,37,Velana International Airport,STELCO,12:30,431,664,"160, 200, 304","130,211.50","1,562,538.00","140,801.00","438,236.00","1,446.00",,66069.52,Yes,Manual,2015,"CO2 emission  (tCO2) 1,166.76",1
KAAFU ATOLL,GAAFARU,1061,0.200,61.1,Velana International Airport,STELCO,12:30,301,860,"160, 300, 400","115,888.92","1,390,667.00","122,670.00","394,777.00","1,213.00",,-,Yes,Auto,2016,"CO2 emission  (tCO2) 1,051.05",1
KAAFU ATOLL,GULHI,893,0.100,22.2,Velana International Airport,STELCO,12:30,240,792,"128, 400, 264","91,507.42","1,098,089.00","95,979.00","325,878.00","1,119.00",,-,Yes,Manual,2004,CO2 emission  (tCO2) 867.62,867.62
KAAFU ATOLL,GURAIDHOO,1605,0.200,32,Velana International Airport,STELCO,12:30,531,1350,"360, 400, 590","220,468.78","2,645,625.33","223,494.00","740,228.00","1,757.00",,59661,Yes,Auto,1998,-,1
KAAFU ATOLL,HIMMAFUSHI,1308,0.300,15.7,Velana International Airport,STELCO,19:30,540,1240,"200, 200, 250, 590","216,517.92","2,598,215.00",0.00,"770,166.00","3,433.00",,5673,Yes,Auto,2001,"CO2 emission  (tCO2) 2,050.49",2
KAAFU ATOLL,HULHUMAL,15769,2.000,4.1,Velana International Airport,STELCO,21:00,,17400,,"4,272,559.50","51,270,714.00","46,034,939.00",,"68,916.00",,-,Yes,Auto,2003,"CO2 emission  (tCO2) 36,040.36",36
KAAFU ATOLL,HURAA,1142,0.300,19.1,Velana International Airport,ISLAND COMMUNITY,12:00,707,910,100360450,0.00,0.00,"1,188,437.22","888,230.00","3,995.25",,-,Yes,Manuel,2002,"CO2 emission  (tCO2) 2,364.82",2
KAAFU ATOLL,KAASHIDHOO,1865,2.800,85.4,Dharavandhoo Airport,STELCO,12:00,339,1200,"160, 200, 250, 590","179,336.58","2,152,039.00","189,536.00","616,960.00","2,653.00",,41519,Yes,Manual,2000,120,1
KAAFU ATOLL,MAAFUSHI,2692,0.400,26.1,Velana International Airport,STELCO,19:00,1389,4079,"590, 889, 1000, 1600","573,487.00","6,881,844.00","629,814.00","1,878,223.00","8,443.00",,179223,Yes,Auto,1997,120,5
KAAFU ATOLL,MAL,127079,1.900,0,Velana International Airport,STELCO,15:00,56048,80320,1000,"28,080,134.33","336,961,612.00","27,772,229.00","86,055,128.00","273,114.00",,911325,Yes,Auto,1949,"CO2 emission  (tCO2) 229,113.17",229
KAAFU ATOLL,THULUSDHOO,1388,0.400,26.7,Velana International Airport,STELCO,12:30,636,1160,"200, 200, 320, 440","240,137.08","2,881,645.00","252,495.00","807,482.91","2,041.00",,79566,Yes,Auto,1995,"CO2 emission  (tCO2) 2,149.84",2
KAAFU ATOLL,VILLIMAL,7790,0.300,3.7,Velana International Airport,STELCO,21:30,2031,4000,"1000, 1000, 1000, 1000","1,041,616.67","12,499,400.00","1,100,998.00","3,458,394.97","12,992.00",,332960.7,Yes,Auto,1997,"CO2 emission  (tCO2) 9,207.63",9
ALIFU ALIFU ATOLL,BODUFOLHUDHOO,607,0.087,81.3,Maamigili Airport,STELCO,13:30,180,416,"112, 128, 176","64,818.00","777,816.00","69,743.00","236,597.09",835.75,,-,Yes,Auto,2001,CO2 emission  (tCO2) 629.92,629.92
